base_1,43.118967237	,131.889649040	,114.216
2038,43.026747424	,131.896136203	,33.287
2039,43.026758990	,131.896146057	,33.191
2040,43.026763209	,131.896141117	,33.230
2041,43.026772318	,131.896136221	,33.265
2042,43.026767816	,131.896146203	,33.074
2043,43.026770277	,131.896151245	,33.228
2044,43.026774436	,131.896150082	,33.307
2045,43.026757442	,131.896168540	,33.272
2046,43.026753604	,131.896170490	,33.194
2047,43.026760420	,131.896173023	,33.155
2048,43.026763593	,131.896170961	,33.154
2049,43.026768154	,131.896169621	,33.234
2050,43.026772657	,131.896172582	,33.163
2051,43.026775001	,131.896179549	,33.188
2052,43.026775100	,131.896185520	,33.099
2053,43.026778572	,131.896191052	,33.098
2054,43.026785494	,131.896194961	,33.112
2055,43.026789780	,131.896194651	,33.140
2056,43.026794224	,131.896188942	,33.169
2057,43.026790827	,131.896183316	,33.093
2058,43.026790154	,131.896174471	,33.120
2059,43.026789660	,131.896162164	,33.276
2060,43.026785737	,131.896143052	,33.318
2061,43.026795016	,131.896119300	,33.736
2062,43.026786917	,131.896114263	,33.797
2063,43.026794678	,131.896111332	,33.858
2064,43.026802796	,131.896103938	,34.213
2065,43.026806256	,131.896107529	,34.234
2066,43.026826320	,131.896087514	,34.847
2067,43.026829766	,131.896081872	,35.108
2068,43.026851707	,131.896068482	,35.841
2069,43.026821449	,131.896109296	,34.254
2070,43.026818785	,131.896106113	,34.319
2071,43.026807370	,131.896123870	,33.749
2072,43.026808039	,131.896141985	,33.475
2073,43.026803719	,131.896150323	,33.271
2074,43.026804438	,131.896185438	,33.172
2075,43.026801639	,131.896175886	,33.098
2076,43.026814590	,131.896175814	,32.996
2077,43.026818705	,131.896170025	,33.163
2078,43.026811803	,131.896154228	,33.353
2079,43.026815118	,131.896162947	,33.269
2080,43.026817777	,131.896157241	,33.334
2081,43.026815568	,131.896153618	,33.373
2082,43.026825254	,131.896125065	,33.971
2083,43.026832970	,131.896130348	,34.094
2084,43.026893621	,131.896042333	,37.175
2085,43.026882566	,131.896083232	,35.839
2086,43.026877269	,131.896132223	,34.688
2087,43.026881622	,131.896141455	,34.427
2088,43.026869636	,131.896150529	,34.009
2089,43.026874462	,131.896151804	,34.037
2090,43.026851134	,131.896159357	,33.651
2091,43.026837647	,131.896182969	,33.050
2092,43.026865575	,131.896228787	,33.214
2093,43.026871717	,131.896230081	,33.016
2094,43.026871219	,131.896239505	,32.952
2095,43.026875432	,131.896254860	,32.890
2096,43.026876079	,131.896240555	,32.937
2097,43.026879177	,131.896238839	,33.050
2098,43.026883906	,131.896244858	,32.964
2099,43.026885098	,131.896248777	,32.898
2100,43.026884871	,131.896242240	,32.942
2101,43.026871707	,131.896209773	,33.056
2102,43.026870911	,131.896204802	,33.083
2103,43.026874001	,131.896204739	,33.209
2104,43.026880597	,131.896199424	,33.194
2105,43.026874502	,131.896197931	,33.194
2106,43.026870866	,131.896187990	,33.140
2107,43.026870509	,131.896184600	,33.249
2108,43.026879114	,131.896170330	,33.580
2109,43.026891138	,131.896152906	,34.093
2110,43.026891336	,131.896149807	,34.466
2111,43.026903572	,131.896148067	,34.464
2112,43.026937457	,131.896111472	,35.927
2113,43.026951340	,131.896157864	,35.029
2114,43.026945381	,131.896184093	,34.096
2115,43.026921734	,131.896180823	,33.828
2116,43.026905538	,131.896177239	,33.773
2117,43.026901958	,131.896172594	,33.866
2118,43.026902863	,131.896208886	,33.970
2119,43.026907149	,131.896209338	,34.145
2120,43.026911568	,131.896203840	,33.469
2121,43.026911779	,131.896224141	,33.119
2122,43.026915624	,131.896251031	,32.929
2123,43.026928272	,131.896229851	,33.213
2124,43.026951959	,131.896293546	,33.021
2125,43.026949563	,131.896319193	,32.828
2126,43.026991155	,131.896368547	,33.212
2127,43.027011008	,131.896276905	,33.685
2128,43.027019867	,131.896234306	,34.538
2129,43.027015301	,131.896209460	,34.551
2130,43.027013314	,131.896204375	,34.956
2131,43.027056481	,131.896189246	,35.423
2132,43.027058642	,131.896219011	,35.023
2133,43.027066156	,131.896247760	,34.855
2134,43.027080811	,131.896270532	,34.739
2135,43.027018894	,131.896422323	,33.188
2136,43.027025167	,131.896478947	,32.846
2137,43.027053076	,131.896537232	,32.525
2138,43.027056454	,131.896535099	,32.567
2139,43.027058703	,131.896537829	,32.580
2140,43.027057981	,131.896541466	,32.601
2141,43.027070762	,131.896549903	,32.528
2142,43.027066107	,131.896584605	,32.561
2143,43.027063053	,131.896592606	,32.445
2144,43.027067495	,131.896595402	,32.449
2145,43.027068841	,131.896591974	,32.481
2146,43.027082761	,131.896590152	,32.582
2147,43.027080620	,131.896596571	,32.448
2148,43.027083171	,131.896606519	,32.458
2149,43.027092296	,131.896594715	,32.569
2150,43.027085183	,131.896588780	,32.601
2151,43.027113944	,131.896587432	,32.927
2152,43.027115181	,131.896580482	,32.642
2153,43.027130433	,131.896581615	,33.124
2154,43.027125163	,131.896618302	,32.665
2155,43.027126881	,131.896645086	,32.594
2156,43.027149466	,131.896618696	,32.808
2157,43.027162860	,131.896601091	,33.011
2158,43.027174775	,131.896627338	,32.889
2159,43.027168870	,131.896647014	,32.727
2160,43.027153077	,131.896500581	,33.940
2161,43.027131254	,131.896499623	,33.485
2162,43.027119196	,131.896473481	,33.579
2163,43.027115681	,131.896473577	,33.547
2164,43.027109995	,131.896473527	,33.541
2165,43.027129029	,131.896455127	,33.796
2166,43.027104547	,131.896421178	,33.911
2167,43.027101033	,131.896422819	,33.826
2168,43.027095841	,131.896429204	,33.651
2169,43.027090770	,131.896428032	,33.557
2170,43.027087103	,131.896424971	,33.603
2171,43.027076579	,131.896414544	,33.453
2172,43.027099158	,131.896417847	,33.781
2173,43.027095973	,131.896412691	,33.749
2174,43.027088656	,131.896417593	,33.663
2175,43.027086811	,131.896411563	,33.643
2176,43.027089312	,131.896400058	,33.922
2177,43.027088504	,131.896395845	,33.854
2178,43.027080003	,131.896404201	,33.714
2179,43.027072338	,131.896407643	,33.509
2180,43.027075281	,131.896393649	,33.670
2181,43.027068575	,131.896405280	,33.468
2182,43.027065286	,131.896403335	,33.432
2183,43.027065072	,131.896399943	,33.412
2184,43.027058000	,131.896394489	,33.338
2185,43.027059092	,131.896391318	,33.343
2186,43.027057658	,131.896387372	,33.381
2187,43.027061487	,131.896387658	,33.431
2188,43.027066932	,131.896388360	,33.583
2189,43.027070163	,131.896387413	,33.708
2190,43.027072425	,131.896374746	,33.714
2191,43.027065040	,131.896368813	,33.618
2192,43.027073492	,131.896368469	,33.839
2193,43.027069137	,131.896366903	,33.744
2194,43.027056646	,131.896364541	,33.490
2195,43.027062380	,131.896361125	,33.606
2196,43.027061365	,131.896359427	,33.688
2197,43.027050461	,131.896357828	,33.684
2198,43.027048072	,131.896356951	,33.473
2199,43.027046471	,131.896340589	,33.722
2200,43.027047308	,131.896344094	,33.636
2201,43.027067000	,131.896356799	,33.883
2202,43.027066792	,131.896354235	,33.829
2203,43.027069648	,131.896349831	,33.988
2204,43.027069958	,131.896343176	,34.019
2205,43.027079043	,131.896345609	,34.226
2206,43.027078737	,131.896361875	,34.040
2207,43.027086821	,131.896349913	,34.235
2208,43.027090460	,131.896346420	,34.315
2209,43.027081043	,131.896368320	,34.031
2210,43.027091336	,131.896369843	,34.214
2211,43.027083627	,131.896374605	,34.004
2212,43.027095982	,131.896355357	,34.257
2213,43.027113981	,131.896353822	,34.375
2214,43.027114282	,131.896337961	,34.622
2215,43.027135620	,131.896307969	,34.924
2216,43.027136349	,131.896185368	,35.975
2217,43.027140588	,131.896182880	,36.162
2218,43.027143325	,131.896181452	,36.363
2219,43.027189645	,131.896250164	,36.544
2220,43.027178996	,131.896342730	,35.052
2221,43.027181241	,131.896353960	,34.891
2222,43.027206415	,131.896382009	,35.016
2223,43.027256907	,131.896333994	,36.248
2224,43.027271177	,131.896345909	,36.106
2225,43.027254032	,131.896417247	,35.100
2226,43.027255054	,131.896422991	,35.045
2227,43.027252728	,131.896425248	,35.011
2228,43.027255243	,131.896427043	,35.040
2229,43.027250609	,131.896433154	,34.961
2230,43.027244314	,131.896429249	,34.969
2231,43.027238832	,131.896433565	,34.784
2232,43.027238335	,131.896436908	,34.863
2233,43.027257987	,131.896468958	,34.771
2234,43.027259860	,131.896477411	,34.711
2235,43.027277776	,131.896482709	,34.766
2236,43.027276032	,131.896451509	,34.878
2237,43.027280890	,131.896442246	,35.016
2238,43.027296372	,131.896423445	,35.351
2239,43.027306963	,131.896402834	,35.831
2240,43.027298285	,131.896467168	,35.005
2241,43.027299286	,131.896477089	,34.920
2242,43.027290190	,131.896491611	,34.855
2243,43.027311637	,131.896517203	,34.788
2244,43.027424396	,131.896524093	,35.247
2245,43.027258668	,131.896713774	,33.151
2246,43.027601707	,131.896781756	,34.375
2247,43.027639279	,131.896775624	,34.600
2248,43.027634862	,131.896826018	,33.978
2249,43.027629025	,131.897016274	,32.270
2250,43.027704270	,131.897043936	,32.596
2251,43.027829298	,131.896893808	,34.181
2252,43.027863813	,131.896905467	,34.375
2253,43.027979946	,131.897008242	,33.678
2254,43.027992784	,131.897011481	,33.683
2255,43.028102083	,131.897258508	,32.273
2256,43.028115890	,131.897232561	,32.415
2257,43.028136673	,131.897243867	,32.442
2258,43.028286413	,131.897217995	,33.456
2259,43.028579013	,131.897444408	,31.737
2260,43.028556011	,131.897492291	,31.269
2261,43.028595057	,131.897498690	,31.251
2262,43.029056593	,131.897574978	,29.721
2263,43.029015903	,131.897578306	,29.773
2264,43.028977807	,131.897579756	,29.773
2265,43.028914013	,131.897585832	,29.972
2266,43.028695568	,131.897598974	,30.585
2267,43.028606509	,131.897607291	,30.687
2268,43.028565289	,131.897609361	,30.729
2269,43.028529073	,131.897612651	,30.896
2270,43.028490589	,131.897613951	,30.994
2271,43.028416595	,131.897620864	,31.279
2272,43.028337986	,131.897623937	,31.570
2273,43.028300401	,131.897628973	,31.610
2274,43.028130912	,131.897583596	,31.938
2275,43.028141352	,131.897571947	,31.916
2276,43.028129838	,131.897572304	,31.986
2277,43.028087929	,131.897548612	,31.860
2278,43.028018769	,131.897482743	,32.787
2279,43.027981296	,131.897499880	,32.833
2280,43.027966040	,131.897488636	,32.622
2281,43.027964623	,131.897475062	,32.954
2282,43.027958902	,131.897491325	,32.579
2283,43.027935369	,131.897469470	,32.861
2284,43.027927007	,131.897476851	,33.327
2285,43.027910654	,131.897430427	,33.318
2286,43.027893195	,131.897412373	,33.226
2287,43.027894688	,131.897419175	,33.331
2288,43.027888890	,131.897426153	,33.376
2289,43.027886276	,131.897486988	,32.508
2290,43.027847091	,131.897485227	,32.564
2291,43.027803464	,131.897473125	,32.411
2292,43.027821646	,131.897452805	,32.805
2293,43.027823347	,131.897453321	,32.833
2294,43.027825411	,131.897438703	,33.092
2295,43.027848915	,131.897442802	,33.092
2296,43.027729671	,131.897223414	,32.584
2297,43.027757455	,131.897244340	,32.392
2298,43.027787738	,131.897395374	,33.261
2299,43.027723270	,131.897359732	,33.004
2300,43.027693442	,131.897302455	,32.974
2301,43.027676770	,131.897343058	,32.921
2302,43.027670337	,131.897287793	,32.936
2303,43.027673608	,131.897208027	,32.632
2304,43.027694817	,131.897164288	,32.022
2305,43.027675070	,131.897168064	,32.364
2306,43.027650977	,131.897166627	,32.509
2307,43.027644240	,131.897197161	,32.811
2308,43.027629483	,131.897156930	,32.685
2309,43.027612464	,131.897181604	,32.920
2310,43.027624296	,131.897213926	,32.865
2311,43.027578144	,131.897195125	,33.125
2312,43.027604033	,131.897151549	,32.802
2313,43.027630923	,131.897116403	,31.876
2314,43.027582869	,131.897142468	,32.936
2315,43.027550311	,131.897148966	,33.086
2316,43.027541260	,131.897191762	,33.212
2317,43.027529034	,131.897155775	,33.210
2318,43.027505449	,131.897186162	,33.377
2319,43.027479467	,131.897162751	,33.382
2320,43.027434729	,131.897157944	,33.492
2321,43.027421371	,131.897186953	,33.626
2322,43.027384524	,131.897195415	,33.714
2323,43.027353571	,131.897177974	,33.765
2324,43.027330936	,131.897202447	,33.900
2325,43.027275061	,131.897317936	,34.171
2326,43.027350322	,131.897325218	,34.004
2327,43.027385993	,131.897331777	,34.073
2328,43.027390838	,131.897337473	,34.036
2329,43.027423710	,131.897340249	,33.939
2330,43.027455504	,131.897345021	,33.776
2331,43.027403638	,131.897279461	,33.934
2332,43.027436536	,131.897263225	,33.796
2333,43.027470032	,131.897266190	,33.741
2334,43.027499376	,131.897293370	,33.646
2335,43.027517533	,131.897249041	,33.583
2336,43.027520703	,131.897281797	,33.568
2337,43.027550919	,131.897268165	,33.375
2338,43.027581255	,131.897261334	,33.304
2339,43.027593827	,131.897281005	,33.242
2340,43.027621949	,131.897272162	,33.023
2341,43.027597094	,131.897306719	,33.086
2342,43.027564639	,131.897339835	,33.235
2343,43.027565617	,131.897334201	,33.218
2344,43.027560928	,131.897329341	,33.342
2345,43.027543537	,131.897380928	,33.495
2346,43.027499111	,131.897390404	,33.709
2347,43.027521232	,131.897432629	,33.531
2348,43.027492823	,131.897459712	,33.656
2349,43.027482745	,131.897496130	,33.904
2350,43.027502136	,131.897492149	,33.495
2351,43.027504179	,131.897498966	,33.510
2352,43.027481384	,131.897513979	,33.742
2353,43.027529786	,131.897671744	,33.683
2354,43.027682293	,131.897662180	,33.275
2355,43.027751771	,131.897559795	,32.320
2356,43.027189851	,131.897284119	,34.014
2357,43.027093771	,131.897263768	,34.188
2358,43.027047975	,131.897276541	,34.311
2359,43.026999532	,131.897288192	,34.497
2360,43.026953609	,131.897303688	,34.480
2361,43.026952751	,131.897312982	,34.503
2362,43.026868609	,131.897388481	,34.725
2363,43.026830223	,131.897434985	,34.975
2364,43.026830170	,131.897425429	,34.924
2365,43.026802917	,131.897472996	,35.241
2366,43.026765657	,131.896935428	,34.128
2367,43.027419844	,131.896988588	,32.342
2368,43.027330820	,131.896950852	,32.647
2369,43.027292783	,131.896930162	,32.740
2370,43.027303666	,131.896911934	,32.313
2371,43.027238867	,131.896859016	,32.333
2372,43.027164191	,131.896810990	,32.460
2373,43.027160344	,131.896836242	,32.934
2374,43.027151770	,131.896846882	,33.019
2375,43.027145305	,131.896796543	,32.615
2376,43.027107672	,131.896788586	,32.948
2377,43.027096779	,131.896792375	,33.080
2378,43.027054763	,131.896770945	,33.155
2379,43.027062153	,131.896757215	,33.067
2380,43.027054539	,131.896727976	,32.766
2381,43.027013699	,131.896719795	,33.201
2382,43.027003089	,131.896708646	,33.098
2383,43.026968510	,131.896676765	,33.215
2384,43.026993717	,131.896652027	,32.595
2385,43.026986010	,131.896631213	,32.462
2386,43.027008602	,131.896578336	,32.527
2387,43.026976499	,131.896600178	,32.674
2388,43.026957526	,131.896557090	,32.496
2389,43.026922957	,131.896640328	,33.236
2390,43.026891656	,131.896611095	,33.126
2391,43.026891222	,131.896626756	,33.313
2392,43.026881772	,131.896620995	,33.198
2393,43.026851985	,131.896639595	,33.274
2394,43.026844178	,131.896649084	,33.330
2395,43.026843380	,131.896636959	,33.300
2396,43.026765306	,131.896644691	,32.766
2397,43.026759480	,131.896635632	,32.815
2398,43.026809828	,131.896602387	,32.576
2399,43.026817193	,131.896601652	,32.747
2400,43.026833483	,131.896592835	,32.730
2401,43.026827742	,131.896598711	,32.744
2402,43.026845466	,131.896576739	,32.768
2403,43.026874613	,131.896580119	,32.671
2404,43.026899842	,131.896525569	,32.763
2405,43.026900082	,131.896508439	,32.817
2406,43.026892638	,131.896520112	,32.677
2407,43.026894293	,131.896522625	,32.720
2408,43.026892520	,131.896525107	,32.748
2409,43.026877064	,131.896523762	,32.799
2410,43.026889524	,131.896468754	,32.774
2411,43.026915366	,131.896450791	,32.622
2412,43.026915344	,131.896441937	,32.671
2413,43.026915043	,131.896435912	,32.665
2414,43.026907719	,131.896430340	,32.691
2415,43.026921360	,131.896395218	,33.077
2416,43.026917977	,131.896401342	,32.661
2417,43.026918694	,131.896383071	,32.784
2418,43.026883522	,131.896467859	,32.867
2419,43.026866682	,131.896443946	,32.701
2420,43.026864834	,131.896433226	,32.720
2421,43.026872456	,131.896387461	,32.688
2422,43.026845833	,131.896399477	,32.756
2423,43.026841741	,131.896401732	,32.727
2424,43.026833786	,131.896420960	,32.767
2425,43.026839269	,131.896432945	,32.696
2426,43.026839743	,131.896441797	,32.716
2427,43.026829355	,131.896469730	,32.698
2428,43.026822983	,131.896458353	,32.737
2429,43.026823460	,131.896482512	,32.721
2430,43.026809835	,131.896525745	,32.743
2431,43.026806998	,131.896544106	,32.696
2432,43.026783526	,131.896528567	,32.723
2433,43.026766113	,131.896519184	,32.793
2434,43.026791745	,131.896486326	,32.855
2435,43.026757199	,131.896506843	,32.734
2436,43.026745916	,131.896531497	,32.882
2437,43.026716214	,131.896533602	,32.784
2438,43.026711320	,131.896535285	,32.744
2439,43.026694753	,131.896618370	,32.816
2440,43.026697650	,131.896632822	,32.847
2441,43.026698343	,131.896640211	,32.868
2442,43.026673514	,131.896686673	,32.862
2443,43.026658553	,131.896734099	,33.325
2444,43.026636412	,131.896766271	,33.526
2445,43.026651717	,131.896785501	,33.677
2446,43.026721510	,131.896826971	,33.898
2447,43.026713988	,131.896840447	,33.917
2448,43.026691292	,131.896846965	,34.050
2449,43.026669513	,131.896870577	,34.164
2450,43.026639096	,131.896851992	,34.251
2451,43.026625495	,131.896786631	,33.762
2452,43.026606801	,131.896815488	,34.147
2453,43.026586284	,131.896786317	,34.123
2454,43.026553966	,131.896748798	,34.095
2455,43.026511503	,131.896711122	,34.050
2456,43.026508305	,131.896662817	,33.672
2457,43.026502282	,131.896639207	,32.940
2458,43.026549866	,131.896693041	,33.763
2459,43.026552384	,131.896684258	,33.433
2460,43.026579455	,131.896675285	,33.279
2461,43.026579255	,131.896664426	,33.460
2462,43.026588564	,131.896693914	,33.248
2463,43.026597675	,131.896725618	,33.438
2464,43.026603345	,131.896735202	,33.808
2465,43.026620872	,131.896710238	,33.238
2466,43.026611537	,131.896699896	,33.408
2467,43.026604715	,131.896674632	,33.406
2468,43.026602914	,131.896656108	,33.214
2469,43.026598353	,131.896643074	,33.122
2470,43.026601361	,131.896645706	,32.991
2471,43.026591822	,131.896648597	,33.062
2472,43.026619164	,131.896651727	,32.994
2473,43.026650831	,131.896628733	,32.978
2474,43.026576593	,131.896561728	,33.172
2475,43.026513425	,131.896572019	,33.270
2476,43.026505011	,131.896540489	,33.521
2477,43.026551147	,131.896479573	,33.202
2478,43.026526664	,131.896472259	,33.477
2479,43.026538343	,131.896335532	,33.951
2480,43.026527300	,131.896324504	,34.132
2481,43.026533030	,131.896323843	,34.246
2482,43.026492962	,131.896313639	,34.873
2483,43.026485149	,131.896254329	,35.281
2484,43.026473394	,131.896231853	,35.215
2485,43.026469001	,131.896228706	,35.355
2486,43.026456488	,131.896218014	,35.332
2487,43.026464743	,131.896199993	,35.085
2488,43.026467163	,131.896172476	,35.043
2489,43.026478480	,131.896167539	,34.898
2490,43.026474511	,131.896163556	,34.787
2491,43.026459093	,131.896125425	,34.524
2492,43.026488214	,131.896118683	,34.388
2493,43.026497512	,131.896166736	,34.318
2494,43.026499384	,131.896208400	,34.761
2495,43.026503113	,131.896206002	,34.751
2496,43.026495754	,131.896136467	,34.236
2497,43.026517403	,131.895981119	,34.599
2498,43.026533025	,131.895986133	,34.456
2499,43.026539890	,131.895975072	,34.403
2500,43.026539226	,131.895984926	,34.438
2501,43.026564726	,131.896006442	,34.127
2502,43.026570705	,131.896010615	,34.119
2503,43.026575603	,131.896018700	,34.127
2504,43.026578761	,131.896019906	,34.114
2505,43.026570573	,131.896030641	,34.187
2506,43.026566327	,131.896025373	,34.194
2507,43.026559584	,131.896027578	,34.194
2508,43.026566305	,131.896045282	,34.207
2509,43.026543576	,131.896098276	,34.194
2510,43.026535460	,131.896038836	,34.379
2511,43.026590865	,131.896031817	,34.072
2512,43.026588928	,131.896035576	,34.046
2513,43.026585732	,131.896036153	,34.046
2514,43.026585921	,131.896039459	,34.029
2515,43.026597480	,131.896035804	,34.030
2516,43.026606088	,131.896041412	,33.965
2517,43.026610137	,131.896050089	,33.924
2518,43.026609602	,131.896055496	,33.895
2519,43.026616584	,131.896048493	,33.793
2520,43.026617243	,131.896059408	,33.862
2521,43.026601132	,131.896064736	,33.916
2522,43.026599868	,131.896068518	,33.985
2523,43.026597807	,131.896071636	,33.910
2524,43.026593097	,131.896073140	,34.038
2525,43.026577889	,131.896087781	,34.088
2526,43.026609795	,131.896092938	,33.964
2527,43.026613120	,131.896091366	,34.004
2528,43.026613341	,131.896084932	,33.916
2529,43.026642474	,131.896085965	,33.817
2530,43.026645238	,131.896080511	,33.726
2531,43.026640956	,131.896099873	,33.686
2532,43.026647311	,131.896083432	,33.772
2533,43.026649096	,131.896101818	,33.557
2534,43.026669663	,131.896075972	,33.379
2535,43.026679325	,131.896094325	,33.340
2536,43.026682054	,131.896096640	,33.377
2537,43.026680243	,131.896098845	,33.336
2538,43.026687443	,131.896104812	,33.318
2539,43.026693429	,131.896112830	,33.296
2540,43.026689688	,131.896107247	,33.347
2541,43.026692626	,131.896114067	,33.326
2542,43.026692833	,131.896118320	,33.224
2543,43.026686802	,131.896118858	,33.333
2544,43.026685432	,131.896117849	,33.325
2545,43.026683216	,131.896119085	,33.308
2546,43.026682922	,131.896120365	,33.333
2547,43.026680053	,131.896120158	,33.387
2548,43.026678824	,131.896125897	,33.443
2549,43.026655522	,131.896145372	,33.402
2550,43.026655969	,131.896158836	,33.469
2551,43.026680094	,131.896157439	,33.222
2552,43.026684695	,131.896154293	,33.301
2553,43.026687375	,131.896159981	,33.327
2554,43.026720243	,131.896151030	,33.156
2555,43.026754049	,131.896201005	,33.115
2556,43.026722627	,131.896222085	,33.217
2557,43.026733213	,131.896225166	,33.162
2558,43.026739975	,131.896253522	,33.069
2559,43.026783133	,131.896291763	,32.753
2560,43.026788898	,131.896309432	,32.735
2561,43.026785356	,131.896304843	,32.761
2562,43.026791801	,131.896308669	,33.028
2563,43.026803456	,131.896301233	,33.088
2564,43.026800216	,131.896294619	,32.848
2565,43.026805447	,131.896301129	,32.998
2566,43.026829529	,131.896288811	,32.732
2567,43.026834822	,131.896274632	,32.798
2568,43.026843441	,131.896271195	,32.840
2569,43.026812240	,131.896334341	,32.972
2570,43.026807642	,131.896350457	,32.771
2571,43.026786939	,131.896394788	,32.821
2572,43.026785093	,131.896389820	,32.811
2573,43.026773428	,131.896385776	,32.974
2574,43.026770034	,131.896366474	,32.910
2575,43.026754256	,131.896370661	,32.945
2576,43.026748387	,131.896372720	,32.897
2577,43.026742961	,131.896368049	,32.898
2578,43.026748760	,131.896338264	,33.172
2579,43.026744169	,131.896337926	,33.005
2580,43.026749496	,131.896310317	,33.046
2581,43.026738128	,131.896286552	,33.302
2582,43.026730878	,131.896294519	,33.230
2583,43.026731502	,131.896283694	,33.473
2584,43.026729330	,131.896287488	,33.043
2585,43.026701702	,131.896272590	,33.152
2586,43.026651113	,131.896281129	,33.325
2587,43.026649989	,131.896277529	,33.356
2588,43.026648743	,131.896276452	,33.460
2589,43.026645133	,131.896272772	,33.556
2590,43.026637680	,131.896214911	,33.490
2591,43.026631987	,131.896187768	,33.507
2592,43.026608506	,131.896185054	,33.676
2593,43.026604335	,131.896195291	,33.797
2594,43.026593527	,131.896172375	,33.748
2595,43.026589974	,131.896186521	,33.953
2596,43.026581936	,131.896188091	,33.916
2597,43.026583236	,131.896179224	,33.758
2598,43.026583998	,131.896168761	,33.809
2599,43.026578531	,131.896164447	,33.861
2600,43.026574349	,131.896162598	,33.992
2601,43.026579150	,131.896166414	,33.898
2602,43.026579342	,131.896172082	,33.869
2603,43.026575445	,131.896171956	,33.934
2604,43.026579385	,131.896130418	,34.051
2605,43.026554467	,131.896150458	,33.968
2606,43.026542546	,131.896204948	,34.060
2607,43.026581921	,131.896275992	,33.836
2608,43.026573929	,131.896282392	,33.749
2609,43.026568782	,131.896281021	,33.765
2610,43.026580574	,131.896301535	,33.644
2611,43.026573794	,131.896303898	,33.652
2612,43.026566634	,131.896302507	,33.682
2613,43.026569703	,131.896305768	,33.572
2614,43.026573450	,131.896328341	,33.510
2615,43.026574674	,131.896326434	,33.523
2616,43.026582062	,131.896329365	,33.444
2617,43.026585481	,131.896329305	,33.482
2618,43.026587896	,131.896336455	,33.417
2619,43.026623006	,131.896336134	,33.418
2620,43.026576591	,131.896390183	,33.300
2621,43.026622015	,131.896386165	,33.175
2622,43.026626301	,131.896395076	,33.241
2623,43.026628828	,131.896404100	,33.171
2624,43.026635645	,131.896464188	,33.096
2625,43.026641512	,131.896353316	,33.411
2626,43.026647877	,131.896353751	,33.310
2627,43.026631029	,131.896331126	,33.392
2628,43.026630168	,131.896304767	,33.447
2629,43.026625567	,131.896312773	,33.464
2630,43.026620449	,131.896309749	,33.482
2631,43.026672096	,131.896338038	,33.378
2632,43.026669661	,131.896336229	,33.268
2633,43.026687085	,131.896376338	,33.120
2634,43.026690848	,131.896382177	,33.138
2635,43.026695854	,131.896384182	,33.007
2636,43.026697523	,131.896367189	,33.021
2637,43.026716215	,131.896374618	,32.995
2638,43.026714737	,131.896398708	,32.938
2639,43.026726205	,131.896408784	,32.820
2640,43.026729106	,131.896476664	,32.734
2641,43.026731371	,131.896480998	,32.731
2642,43.026744031	,131.896492092	,32.758
2643,43.026740706	,131.896508800	,32.808
2644,43.026678206	,131.896520366	,32.878
base_3,43.345316145	,132.142003569	,64.832
2645,43.026779501	,131.897522476	,35.432
2646,43.026780276	,131.897519574	,35.338
2647,43.026762587	,131.897572755	,35.644
2648,43.026758487	,131.897572665	,35.495
2649,43.026758313	,131.897575834	,35.522
2650,43.026746828	,131.897643282	,35.793
2651,43.026747756	,131.897646042	,35.774
2652,43.026749191	,131.897650883	,35.747
2653,43.026749919	,131.897653698	,35.758
2654,43.026738286	,131.897715079	,35.890
2655,43.026697903	,131.897785509	,36.356
2656,43.026679330	,131.897840054	,36.604
2657,43.026678437	,131.897844734	,36.582
2658,43.026717243	,131.897851493	,36.414
2659,43.026671286	,131.897890710	,36.979
2660,43.026622212	,131.897922490	,37.394
2661,43.026873363	,131.897926754	,35.764
2662,43.026872255	,131.897923867	,35.839
2663,43.026856350	,131.897878269	,35.899
2664,43.026857527	,131.897873738	,35.825
2665,43.026849490	,131.897823094	,35.853
2666,43.026846524	,131.897766398	,35.730
2667,43.026850858	,131.897713457	,35.741
2668,43.026853981	,131.897715034	,35.672
2669,43.026861547	,131.897664966	,35.535
2670,43.026862964	,131.897661918	,35.540
2671,43.026938465	,131.897510529	,35.221
2672,43.026973452	,131.897480551	,35.105
2673,43.027006688	,131.897456145	,35.077
2674,43.027045045	,131.897440325	,34.992
2675,43.027085183	,131.897432409	,34.864
2676,43.027129691	,131.897431839	,34.722
2677,43.027205820	,131.897463852	,34.444
2678,43.027272293	,131.897522938	,34.468
2679,43.027299514	,131.897564568	,34.395
2680,43.027321213	,131.897610464	,34.448
2681,43.027336061	,131.897652671	,34.598
2682,43.027350836	,131.897675887	,34.453
2683,43.027335112	,131.897816293	,34.359
2684,43.027349430	,131.897843980	,34.549
2685,43.027337942	,131.897893359	,34.482
2686,43.027291166	,131.897886444	,34.410
2687,43.027321488	,131.897942638	,34.478
2688,43.027278531	,131.897999996	,34.631
2689,43.027266744	,131.898037858	,34.647
2690,43.027234290	,131.898067790	,34.759
2691,43.027198511	,131.898093881	,34.790
2692,43.027057984	,131.898117367	,35.091
2693,43.027014707	,131.898103607	,35.185
2694,43.026977995	,131.898079962	,35.295
2695,43.026945837	,131.898047627	,35.465
2696,43.026915294	,131.898012744	,35.520
2697,43.027042206	,131.897996040	,35.055
2698,43.027005465	,131.897962352	,35.124
2699,43.026925385	,131.897848717	,35.451
2700,43.026919900	,131.897796782	,35.469
2701,43.026921613	,131.897747120	,35.427
