base_1,43.118967237	,131.889649040	,114.216
298,43.025599637	,131.896897136	,41.613
299,43.025583013	,131.896914333	,42.163
300,43.025578588	,131.896898986	,42.011
301,43.025576096	,131.896903126	,42.116
302,43.025624350	,131.896857052	,41.778
303,43.025632125	,131.896831222	,43.315
304,43.025602221	,131.896855296	,42.077
305,43.025605609	,131.896815691	,43.110
306,43.025623147	,131.896793273	,43.882
307,43.025599687	,131.896803742	,43.715
308,43.025580151	,131.896806439	,43.291
309,43.025561635	,131.896818833	,43.242
310,43.025553760	,131.896851819	,42.800
311,43.025549232	,131.896879872	,42.768
312,43.025535617	,131.896901605	,43.429
313,43.025532183	,131.896907277	,43.374
314,43.025526748	,131.896883076	,43.269
315,43.025522283	,131.896873982	,43.389
316,43.025505978	,131.896896635	,43.949
317,43.025508816	,131.896864902	,43.576
318,43.025499594	,131.896847277	,43.923
319,43.025488091	,131.896834976	,44.161
320,43.025514628	,131.896819286	,43.712
321,43.025528391	,131.896815622	,43.943
322,43.025537691	,131.896812866	,43.519
323,43.025526901	,131.896754217	,44.603
324,43.025529569	,131.896750213	,44.628
325,43.025519841	,131.896743601	,44.833
326,43.025541342	,131.896746339	,44.971
327,43.025538006	,131.896741087	,44.903
328,43.025540203	,131.896738919	,45.030
329,43.025628055	,131.896738304	,44.603
330,43.025715899	,131.896703083	,43.105
331,43.025716595	,131.896710406	,43.171
332,43.025909066	,131.895920687	,40.548
333,43.025946167	,131.895878027	,40.096
334,43.026009552	,131.895813430	,39.488
335,43.026013271	,131.895803916	,39.571
336,43.026010794	,131.895780104	,39.403
337,43.026008841	,131.895765415	,39.842
338,43.026013395	,131.895796357	,39.541
339,43.026023392	,131.895843119	,38.847
340,43.026024861	,131.895843412	,38.983
341,43.026041002	,131.895839334	,38.892
342,43.026040513	,131.895841999	,38.711
343,43.026003749	,131.895894065	,38.707
344,43.025976540	,131.895924785	,38.972
345,43.025981217	,131.895930977	,38.714
346,43.026005090	,131.895970755	,37.774
347,43.026007688	,131.895966082	,37.625
348,43.025997145	,131.895925157	,38.234
349,43.026018661	,131.895990933	,37.449
350,43.025984556	,131.896052991	,37.428
351,43.025987090	,131.896047715	,37.584
352,43.026028412	,131.896018855	,36.781
353,43.026027451	,131.896012794	,36.809
354,43.026098323	,131.895999163	,36.558
355,43.026105590	,131.896006084	,36.253
356,43.026102171	,131.895928484	,37.084
357,43.026150121	,131.895879495	,37.513
358,43.026152592	,131.895874840	,38.159
359,43.026153304	,131.896042408	,36.002
360,43.026152571	,131.896032585	,35.932
361,43.026158128	,131.896040896	,35.667
362,43.026161413	,131.896038106	,35.674
363,43.026170587	,131.896042855	,35.506
364,43.026171949	,131.895983127	,37.193
365,43.026179713	,131.895979751	,37.023
366,43.026167953	,131.895959896	,36.007
367,43.026229365	,131.896009267	,35.636
368,43.026226618	,131.895979367	,36.143
369,43.026230464	,131.895977010	,36.067
370,43.026253664	,131.895984829	,35.834
371,43.026244566	,131.895975986	,36.004
372,43.026247787	,131.895974219	,36.115
373,43.026246498	,131.895971399	,36.136
374,43.026281001	,131.895973355	,35.593
375,43.026284760	,131.895985969	,35.291
376,43.026286672	,131.895978407	,35.681
377,43.026291140	,131.895983937	,35.250
378,43.026301252	,131.895985783	,35.376
379,43.026309818	,131.895979024	,35.100
380,43.026322986	,131.895975379	,35.096
381,43.026323965	,131.895969855	,35.156
382,43.026281388	,131.895925357	,36.318
383,43.026285409	,131.895911898	,36.344
384,43.026373905	,131.895959040	,34.864
385,43.026403443	,131.895855526	,36.010
386,43.026404710	,131.895840993	,36.402
387,43.026413115	,131.895839734	,36.573
388,43.026415188	,131.895800162	,38.053
389,43.026432797	,131.895820544	,37.325
390,43.026431885	,131.895826269	,37.011
391,43.026446199	,131.895847197	,36.600
392,43.026443759	,131.895887633	,35.789
393,43.026422625	,131.895816305	,37.256
394,43.026387251	,131.896129924	,35.115
395,43.026390316	,131.896151020	,35.115
396,43.026393702	,131.896152125	,34.927
397,43.026390455	,131.896181481	,35.185
398,43.026389127	,131.896185162	,35.194
399,43.026393246	,131.896188014	,35.102
400,43.026327854	,131.896145286	,36.190
401,43.026321823	,131.896137127	,36.045
402,43.026288564	,131.896202352	,36.777
403,43.026287049	,131.896211342	,36.893
404,43.026344775	,131.896254494	,36.396
405,43.026345133	,131.896251494	,36.428
406,43.026348807	,131.896251272	,36.668
407,43.026351299	,131.896256172	,36.819
408,43.026350233	,131.896288786	,36.389
409,43.026348706	,131.896288589	,36.419
410,43.026346594	,131.896288750	,36.329
411,43.026347147	,131.896293797	,36.468
412,43.026349056	,131.896293883	,36.412
413,43.026328983	,131.896294180	,36.480
414,43.026329607	,131.896302223	,36.292
415,43.026328179	,131.896308429	,35.972
416,43.026324728	,131.896306754	,36.085
417,43.026331677	,131.896309542	,36.055
418,43.026283809	,131.896349827	,35.875
419,43.026280760	,131.896353904	,35.933
420,43.026261650	,131.896349976	,35.996
421,43.026262645	,131.896345403	,35.938
422,43.026260650	,131.896341172	,35.948
423,43.026184077	,131.896330868	,36.746
424,43.026180866	,131.896331643	,37.052
425,43.026232457	,131.896219171	,37.916
426,43.026225226	,131.896220930	,37.270
427,43.026217489	,131.896206689	,37.337
428,43.026214282	,131.896203110	,37.459
429,43.026312382	,131.896113273	,35.787
430,43.026281865	,131.896103178	,35.455
431,43.026257629	,131.896100576	,35.584
432,43.026248062	,131.896088087	,35.434
433,43.026195791	,131.896093869	,35.671
434,43.026196078	,131.896135132	,36.545
435,43.026190865	,131.896135534	,36.573
436,43.026198243	,131.896160180	,36.840
437,43.026174732	,131.896172597	,37.187
438,43.026170880	,131.896174703	,37.223
439,43.026178341	,131.896186715	,37.321
440,43.026171116	,131.896232284	,37.489
441,43.026170861	,131.896237965	,37.601
442,43.026177283	,131.896261529	,37.250
443,43.026149202	,131.896357184	,37.344
444,43.026147708	,131.896367545	,37.456
445,43.026151472	,131.896365134	,37.376
446,43.026067882	,131.896416214	,38.795
447,43.026051002	,131.896396710	,39.182
448,43.026042716	,131.896400423	,39.262
449,43.026015677	,131.896334845	,39.334
450,43.025996928	,131.896241733	,38.483
451,43.025992717	,131.896241874	,38.302
452,43.025997231	,131.896236351	,38.354
453,43.025988267	,131.896138099	,37.244
